Nome do Artista,Música
ABBA,Dancing Queen
ABBA,Mamma Mia
ABBA,Waterloo
Adele,Hello
Alceu Valença,Morena Tropicana
Alceu Valença,Anunciação
Anitta,Bang
Barão Vermelho,Bete Balanço
Barão Vermelho,Pro Dia Nascer Feliz
Bee Gees,How Deep Is Your Love
Bee Gees,Stayin' Alive
Beth Carvalho,Coisinha do Pai
Blitz,Você Não Soube Me Amar
Bon Jovi,Livin' on a Prayer
Bruno Mars,Uptown Funk
Caetano Veloso,Leãozinho
Caetano Veloso,Sozinho
Caetano Veloso,Odara
Caetano Veloso,"Alegria, Alegria"
Caetano Veloso,Sampa
Caetano Veloso,Lua de São Jorge
Caetano Veloso,Tigresa
Caetano Veloso,Você é Linda
Caetano Veloso,Coração Vagabundo
Caetano Veloso,Reconvexo
Cazuza,Ideologia
Cazuza,Brasil
Cazuza,O Tempo Não Para
Cazuza,Exagerado
Celine Dion,My Heart Will Go On
Cher,Believe
Chicago,If You Leave Me Now
Chico Buarque,Partido Alto
Chico Buarque,Roda Viva
Clara Nunes,O Mar Serenou
David Bowie,Let's Dance
David Bowie,Heroes
David Bowie,Life on Mars?
David Bowie,Space Oddity
David Bowie,Rebel Rebel
Djavan,Açaí
Djavan,Pétala
Djavan,Seduzir
Djavan,Oceano
Djavan,Sina
Djavan,Eu te Devoro
Djavan,Flor de Lis
Djavan,Samurai
Djavan,Lilás
Djavan,Se...
Duran Duran,Ordinary World
Eagles,Hotel California
Ed Sheeran,Shape of You
Elba Ramalho,Banho de Cheiro
Elis Regina,O Bêbado e a Equilibrista
Elis Regina,Como Nossos Pais
Elis Regina,Águas de Março
Elton John,Tiny Dancer
Elton John,Rocket Man
Elton John,Your Song
Elton John,Sacrifice
Elton John,Candle in the Wind
Elton John,Your Song
Fagner,Espumas ao Vento
Fagner,Borbulhas de Amor
Gal Costa,Baby
Gal Costa,Divino Maravilhoso
Geraldo Azevedo,Taxi Lunar
Gilberto Gil,Realce
Gilberto Gil,Andar com Fé
Gilberto Gil,Drão
Gilberto Gil,Esotérico
Gilberto Gil,Toda Menina Baiana
Gilberto Gil,Vamos Fugir
Gilberto Gil,Expresso 2222
Gilberto Gil,Palco
Gilberto Gil,Aquele Abraço
Gilberto Gil,"Não Chore Mais (No Woman, No Cry)"
Gonzaguinha,E Vamos à Luta
Gonzaguinha,"O Que é, O Que é?"
Guilherme Arantes,Cheia de Charme
Guilherme Arantes,Deixa Chover
Guilherme Arantes,Planeta Água
Guilherme Arantes,Meu Mundo e Nada Mais
Ivete Sangalo,Sorte Grande
Ivete Sangalo,Acelera Aê (Noite do Bem)
Jorge Ben Jor,Chove Chuva
Jorge Ben Jor,Taj Mahal
Jorge Ben Jor,"Mas, Que Nada!"
Kid Abelha,Fixação
Kid Abelha,Pintura Íntima
Los Hermanos,Sentimental
Los Hermanos,Pierrot
Los Hermanos,Anna Júlia
Los Hermanos,Todo Carnaval Tem Seu Fim
Los Hermanos,Cara Estranho
Los Hermanos,O Vencedor
Los Hermanos,A Flor
Los Hermanos,Último Romance
Luan Santana,Te Esperando
Ludmilla,Cheguei
Lulu Santos,Tempos Modernos
Lulu Santos,Como Uma Onda
MC Kevinho,Olha a Explosão
Madonna,Like a Prayer
Maria Bethânia,Negue
Marina Lima,Fullgás
Marina Lima,À Francesa
Marina Lima,Nada Por Mim
Marisa Monte,Ainda Bem
Marília Mendonça,Infiel
Metallica,Enter Sandman
Michael Jackson,Heal the World
Milton Nascimento,Maria Maria
Milton Nascimento,Travessia
Nirvana,Smells Like Teen Spirit
Novos Baianos,Preta Pretinha
Os Mutantes,Top Top
Os Mutantes,Balada do Louco
Os Mutantes,Bat Macumba
Os Mutantes,A Minha Menina
Os Mutantes,Tecnicolor
Os Mutantes,El Justiciero
Os Mutantes,Ando Meio Desligado
Os Mutantes,Minha Menina
Os Mutantes,Panis et Circenses
Pabllo Vittar,K.O.
Paralamas do Sucesso,Alagados
Paralamas do Sucesso,Lanterna dos Afogados
Paula Fernandes,Pássaro de Fogo
Paulinho da Viola,Foi Um Rio Que Passou Em Minha Vida
Queen,I Want to Break Free
Queen,Somebody to Love
Queen,Bohemian Rhapsody
Queen,Radio Ga Ga
Queen,We Are the Champions
Queen,Another One Bites the Dust
Queen,Crazy Little Thing Called Love
Queen,Under Pressure
Queen,Bohemian Rhapsody
Queen,Don't Stop Me Now
Queen,We Will Rock You
RPM,Rádio Pirata
RPM,Olhar 43
Raul Seixas,Metamorfose Ambulante
Raul Seixas,Eu Nasci Há Dez Mil Anos Atrás
Raul Seixas,Maluco Beleza
Rita Lee,Ovelha Negra
Rita Lee,Mania de Você
Roberto Carlos,Emoções
Roberto Carlos,Detalhes
Sandy & Junior,As Quatro Estações
Secos & Molhados,Sangue Latino
Simone & Simaria,Loka
The Beatles,Here Comes the Sun
The Beatles,Don't Let Me Down
The Beatles,Revolution
The Beatles,While My Guitar Gently Weeps
The Beatles,Let It Be
The Beatles,Strawberry Fields Forever
The Beatles,The Long and Winding Road
The Beatles,Hey Jude
The Beatles,Hey Bulldog
The Beatles,Something
The Beatles,Lucy in the Sky with Diamonds
The Beatles,Blackbird
The Beatles,Hey Jude
The Beatles,Get Back
The Beatles,Come Together
The Beatles,Octopus's Garden
The Beatles,Penny Lane
The Beatles,Across the Universe
The Beatles,All You Need Is Love
The Beatles,A Day in the Life
The Beatles,I Am the Walrus
The Police,Every Breath You Take
The Police,Message in a Bottle
The Police,Roxanne
The Police,Don't Stand So Close to Me
The Police,Walking on the Moon
Thiaguinho,Ousadia e Alegria
Tim Maia,Primavera
Tim Maia,Não Quero Dinheiro (Só Quero Amar)
Tim Maia,Gostava Tanto de Você
Titãs,Epitáfio
Titãs,Sonífera Ilha
Titãs,Televisão
Titãs,Marvin
Titãs,Bichos Escrotos
Titãs,Homem Primata
Titãs,Pra Dizer Adeus
Titãs,O Pulso
Titãs,Flores
Titãs,Polícia
Tom Jobim,Garota de Ipanema
U2,I Still Haven't Found What I'm Looking For
U2,Sunday Bloody Sunday
U2,Beautiful Day
U2,One
U2,With or Without You
Victor & Leo,Borboletas
Wesley Safadão,Camarote
Whitney Houston,I Will Always Love You
Zeca Pagodinho,Deixa a Vida Me Levar
Zezé Di Camargo & Luciano,É o Amor
Zé Ramalho,Frevo Mulher
Zé Ramalho,Chão de Giz